course_code,title,requirement_type,required_for_majors,elective_for_majors
ECE 291,Electrical Engineering Sophomore Projects,required_coursework,ee1|ee2,
ECE 300,Communication Theory,required_coursework,ee1|ee2,
ECE 302,Probability Models & Stochastic Processes,required_coursework,ee1|ee2,
ECE 303,Communication Networks,required_coursework,cs|ee1|ee2,
ECE 310,Digital Signal Processing,required_coursework,ee1|ee2,
ECE 311,Hardware Design,required_coursework,ee2,
ECE 314,Audio Engineering Projects,engineering_electives,,
ECE 320,Control Systems,engineering_electives,,
ECE 323,Embedded System Design,engineering_electives,,
ECE 331,Data Visualization (same as CS 331),engineering_electives,,
ECE 332,Electro-Mechanical Energy Conversion,engineering_electives,,
ECE 335,Engineering Electromagnetics,required_coursework,ee2,
ECE 342,Electronics II,required_coursework,ee1|ee2,
ECE 345,Integrated Circuit Engineering,required_coursework,ee2,
ECE 357,Computer Operating Systems,required_coursework,ee1,
ECE 365,Data Structures & Algorithms II,required_coursework,ee1,
ECE 366,Software Engineering & Large Systems Design,required_coursework,ee1,
ECE 391,Research Problem,engineering_electives,,
ECE 392,Research Problem II (continuation of ECE 391),engineering_electives,,
ECE 393,Junior Electrical Engineering Projects I,required_coursework,ee1|ee2,
ECE 394,Junior Electrical Engineering Projects II,required_coursework,ee1|ee2,
ECE 395,Senior Electrical Engineering Projects I,required_coursework,ee1|ee2,
ECE 396,Senior Electrical Engineering Projects II,required_coursework,ee1|ee2,
ECE 399,Selected Topics in Electrical & Computer Engineering,engineering_electives,,
ECE 401,Selected Topics in Communication Theory,engineering_electives,,
ECE 402,Selected Topics in Probability & Stochastic Processes,engineering_electives,,
ECE 403,Advanced Communications Networks,engineering_electives,,
ECE 404,Satellite Communication,engineering_electives,,
ECE 405,Advanced Digital Communications,engineering_electives,,
ECE 407,Wireless System Design,engineering_electives,,
ECE 408,Wireless Communications,engineering_electives,,
ECE 410,Radar & Sensor Array Processing,engineering_electives,,
ECE 411,Selected Topics in Signal Processing,engineering_electives,,
ECE 412,Digital Speech & Audio Processing,engineering_electives,,
ECE 413,Music & Engineering,engineering_electives,,
ECE 415,Wavelets and Multiresolution Imaging (same as MA 415),engineering_electives,,
ECE 416,Adaptive Algorithms,engineering_electives,,
ECE 417,Design for Custom DSP Hardware,engineering_electives,,
ECE 418,Digital Video,engineering_electives,,
ECE 419,Digital Image Processing,engineering_electives,,
ECE 421,Advanced Control System Design,engineering_electives,,
ECE 425,Digital Control Systems,engineering_electives,,
ECE 431,Microwave Engineering,engineering_electives,,
ECE 433,Optical Communications Devices & Systems,engineering_electives,,
ECE 435,Medical Imaging,engineering_electives,,
ECE 437,Fourier Optics,engineering_electives,,
